,0,1
0,http://www.predpol.com/2014/03/,20140320164019
1,http://www.predpol.com/2012/07/,20130305064308
2,http://www.predpol.com/2012/09/,20130315042328
3,http://www.predpol.com/2013/05/,20130728142325
4,http://www.predpol.com/2013/06/,20130729121855
5,http://www.predpol.com/2013/09/,20131114022844
6,http://www.predpol.com/2013/03/,20130728141932
7,http://www.predpol.com/2013/12/,20140320165916
8,http://www.predpol.com/2013/10/,20131112122051
9,http://www.predpol.com/2014/02/,20140320164014
10,http://www.predpol.com/2013/04/,20130728142320
11,http://www.predpol.com/2013/02/,20130304192711
12,http://www.predpol.com/2012/08/,20130304193550
13,http://www.predpol.com/2013/11/,20131112122059
14,http://www.predpol.com/2013/07/,20130729122417
15,http://www.predpol.com/2012/10/,20130304194153
16,http://www.predpol.com/2013/08/,20131112121856
17,http://www.predpol.com/2013/01/,20130304192650
18,http://www.predpol.com/2014/05/,20140619210544
